标题;链接;作者;机构;国家;大学
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Evanthia Hatziminaoglou;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Antonio Pensabene;Department of Physics, University of Milan Bicocca, Milano;Italy;University of Milan Bicocca
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Francesca Rizzo;Niels Bohr Institute, University of Copenhagen, Copenhagen, Capital Region of Denmark;Denmark;University of Copenhagen
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Matus Rybak;Leiden Observatory, Leiden University, Leiden, South Holland;The Netherlands;Leiden University
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Sijing Shen;Institute of Theoretical Astrophysics, University of Oslo, Oslo, Oslo;Norway;University of Oslo
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Andreas Lundgren;Aix-Marseille-University, Marseille, Provence-Alpes-Côte d'Azur;France;Aix-Marseille-University
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Mark Booth;UK Astronomy Technology Centre, Royal Observatory Edinburgh, Edinburgh;UK;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Pamela Klaassen;UK Astronomy Technology Centre, Royal Observatory Edinburgh, Edinburgh;UK;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Tony Mroczkowski;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Martin A. Cordiner;Astrochemistry Laboratory, NASA Goddard Space Flight Center, Greenbelt;USA;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Doug Johnstone;Department of Physics and Astronomy, University of Victoria, Victoria, British Columbia;Canada;University of Victoria
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Eelco van Kampen;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Daizhong Liu;Max Planck Institute for extraterrestrial Physics (MPE), Garching;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Thomas Maccarone;Department of Physics & Astronomy, Texas Tech University, Lubbock, Texas;USA;Texas Tech University
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Amelie Saintonge;Max Planck Institute for Radio Astronomy, Bonn;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Matthew Smith;School of Physics & Astronomy, Cardiff University, Cardiff, Wales;UK;Cardiff University
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Alexander E. Thelen;Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, California;USA;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Sven Wedemeyer;Institute of Theoretical Astrophysics, University of Oslo, Oslo, Oslo;Norway;University of Oslo
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Bénédicte Miyamoto;Université Sorbonne Nouvelle, Paris;France;Université Sorbonne Nouvelle
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Maija Ojala-Fulwood;Tampere University, Tampere;Finland;Tampere University
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Veronika Čapská;Czech Academy of Sciences, Prague;Czech Republic;
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Fiona Eva Bakas;Lusofona University;Portugal;Lusofona University
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Igor Lyman;Berdyansk State Pedagogical University, Zaporizhzhia;Ukraine;Berdyansk State Pedagogical University
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Frigren Pirita;University of Turku, Pori;Finland;University of Turku
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Victoria Konstantinova;Berdyansk State Pedagogical University, Zaporizhzhia;Ukraine;Berdyansk State Pedagogical University
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Heidi Martins;Centre de Documentation sur les Migrations Humaines, Dudelange;Luxembourg;
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Lívia Prosinger;Institute of Political History;Hungary;
Memorializing Women on the Move: A register of migrant women landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-109;Marie Ruiz;Université de Picardie Jules Verne, Amiens;France;Université de Picardie Jules Verne
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Milena Pitashny;Rappaport Faculty of Medicine, Technion Institute of Science, Haifa;Israel;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Dina Kao;Gastroenterology, University of Alberta, Edmonton, Alberta;Canada;University of Alberta
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Gianluca Ianiro;Gastroenterology, Fondazione Policlinico Univesitario A. Gemelli, Rome;Italy;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Benjamin Mullish;Division of Digestive Diseases, Imperial College London, London;UK;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Gergely Nagy;Intensive care Unit, University of Debrecen, Debrecen;Hungary;University of Debrecen
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Tadas Urbonas;Gastroenterology, Lithuanian University, Kaunas;Lithuania;Lithuanian University
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Inbar Kesten;Research Division, Rambam Health Care Campus, Haifa;Israel;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Yoav Stabholz;Infectious diseases unit, Rambam Health Care Campus, Haifa;Israel;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Juozas Kupcinskas;Gastroenterology, Lithuanian University, Kaunas;Lithuania;Lithuanian University
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Rose Franz;Gastroenterology, University of Alberta, Edmonton, Alberta;Canada;University of Alberta
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Debora Rondinella;Gastroenterology, Fondazione Policlinico Univesitario A. Gemelli, Rome;Italy;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Sabrina Tamburini;Computational Metagenomics Lab, University of Trento, Povo (Trento);Italy;University of Trento
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Zsuzsa Tudlik;Intensive care Unit, University of Debrecen, Debrecen;Hungary;University of Debrecen
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Luca Masucci;Laboratory of Microbiology, Fondazione Policlinico Universitario, Rome;Italy;Fondazione Policlinico Universitario
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Gianluca Quaranta;Laboratory of Microbiology, Fondazione Policlinico Universitario, Rome;Italy;Fondazione Policlinico Universitario
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;William Fusco;Gastroenterology, Fondazione Policlinico Univesitario A. Gemelli, Rome;Italy;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Giovanni Cammarota;Gastroenterology, Fondazione Policlinico Univesitario A. Gemelli, Rome;Italy;
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61;Jurgita Skieceviciene;Gastroenterology, Lithuanian University, Kaunas;Lithuania;Lithuanian University
