题目;链接;姓名;机构;国家;状态
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Sonja Wogrin;Graz Universitz of Technology;Austria;Normal
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Tarek AlSkaif;Wageningen University and Research;The Netherlands;Normal
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Diana Neves;Universidade de Lisboa;Portugal;Normal
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Marthe Fogstad Dynge;Norwegian University of Science and Technology;Norway;Normal
Prospective versus retrospective: a simple matter of timing?;https://open-research-europe.ec.europa.eu/articles/4-225;Sophie Bots;Utrecht University;The Netherlands;Normal
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Guohui Xiao;University of Bergen;Norway;Normal
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Victoria Lush;Aston University;UK;Normal
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Antonis Troumpoukis;National Centre for Scientific Research “Demokritos”;Greece;Normal
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Raul Palma;Poznan Supercomputing and Networking Center;Poland;Normal
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Despina-Athanasia Pantazi;National and Kapodistrian University of Athens;Greece;Normal
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;Jeremiah Laktabai;Moi University School of Medicine;Kenya;Normal
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;Andrew Teo;University of Melbourne;Australia;Normal
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;Eliana María Arango Flórez;Fundacion Universitaria San Martin Facultad de Medicina (Ringgold ID: 469507);Colombia;Normal
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;Olukemi K Amodu;University of Ibadan;Nigeria;Normal
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Santiago Andrés Azcoitia;Universidad Politecnica de Madrid;Spain;Normal
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Mihaela Constantinescu;Bucharest University of Economic Studies;Romania;Normal
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Fadi Al-Turjman;Near East University;Turkey;Normal
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Atsuko Sato;Ochanomizu University;Japan;Normal
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Amitava Mukherjee;Vellore Institute of Technology;India;Normal
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Seren Acarer Arat;Istanbul University-Cerrahpaşa;Turkey;Normal
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Linda Mitchell;The University of Waikato;New Zealand;Normal
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Magda Vitsou;University of Thessaly;Greece;Normal
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Lucija Dežan;Science and Research Centre Koper;Slovenia;Normal
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Adrián Neubauer;Universidad a Distancia de Madrid;Spain;Normal
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Adrijana Visnjic-Jevtic;University of Zagreb;Croatia;Normal
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Giovanni Esposito;Universite Libre de Bruxelles Centre d'Etudes et de Recherches en Administration Publique (Ringgold ID: 129211);Belgium;Normal
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Kieran Higgins;Ulster University;UK;Normal
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Riccardo Accorsi;University of Bologna;Italy;Normal
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176;Diego Tamburini;The British Museum;UK;Normal
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176;Anna Sandak;InnoRenew CoE Livade;Slovenia;Normal
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176;Piergiuseppe Morone;UnitelmaSapienza University of Rome;Italy;Normal
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176;Dietrich Darr;Weihenstephan-Triesdorf University of Applied Sciences;Germany;Normal
Common errors in Generative AI systems used for knowledge extraction in the climate action domain;https://open-research-europe.ec.europa.eu/articles/4-221;Amanda Cardoso Duarte;Barcelona Supercomputing Center;Spain;Normal
Common errors in Generative AI systems used for knowledge extraction in the climate action domain;https://open-research-europe.ec.europa.eu/articles/4-221;Bo Qin;Fudan University;China;Normal
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study;https://open-research-europe.ec.europa.eu/articles/4-219;David Jones Marshall;Elon University;USA;Normal
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study;https://open-research-europe.ec.europa.eu/articles/4-219;Kate Pincock;Overseas Development Institute (Ringgold ID: 4837);UK;Normal
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Terence Michael Garrett;The University of Texas Rio Grande Valley;USA;Normal
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Ridwan Arifin;Immigration Polytechnic;Indonesia;Normal
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Christopher Bacon;Santa Clara University;USA;Normal
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Eric Fouilland;Centre for Marine Biodiversity Exploitation and Conservation;France;Normal
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Koushik Roy;University of South Bohemia in Ceske Budejovice;Czech Republic;Normal
Ex-vivo evaluation of Plasmodium falciparum-induced cytokine expression in chronic hepatitis B virus-infected and uninfected individuals;https://open-research-europe.ec.europa.eu/articles/4-218/v1;Antonio Bertoletti;;Singapore;Normal
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36;Abdul Samad Kazi;VTT Technical Research Centre of Finland;Finland;Normal
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36;Mojtaba Maktabifard;R2M solution;France;Normal
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Simon Stewart;Saudi Aramco;Saudi Arabia;Normal
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Wenjiao Xiao;University of Chinese Academy of Sciences;China;Normal
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Gustavo Martins;TGS;Singapore;Normal
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Ed Landing;New York State Museum;USA;Normal
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Michael Donnelly;Queen's University Belfast;UK;Normal
