题目;链接;Version编号;Version时间;Reviewer编号;状态
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;4;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;5;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;6;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;7;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;8;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;9;
Ethical Impact Assessment of Sharing Nanosafety Data;https://open-research-europe.ec.europa.eu/articles/4-237/v1;Version 1;2024-10-25;1;Approved
Risk assessment for Na-Zn liquid metal batteries;https://open-research-europe.ec.europa.eu/articles/4-236;Version 1;2024-10-25;1;Approved with Reservations
Risk assessment for Na-Zn liquid metal batteries;https://open-research-europe.ec.europa.eu/articles/4-236;Version 1;2024-10-25;2;Approved with Reservations
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;1;
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;2;Approved
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;3;
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;4;Approved
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;5;Approved
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 2;2024-10-25;6;Approved
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;1;Not Approved
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;2;Approved with Reservations
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;3;Approved with Reservations
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;4;
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;5;
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Version 1;2024-03-01;6;
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 3;2024-10-25;1;Approved
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 3;2024-10-25;2;Approved
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 3;2024-10-25;3;
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 3;2024-10-25;4;
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 2;2024-09-09;1;
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 2;2024-09-09;2;Approved with Reservations
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 2;2024-09-09;3;Approved with Reservations
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 2;2024-09-09;4;Approved with Reservations
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 1;2024-04-25;1;Approved with Reservations
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 1;2024-04-25;2;Approved with Reservations
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 1;2024-04-25;3;
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95/v1;Version 1;2024-04-25;4;
Ten lessons for future MSCA/COFUND applicants;https://open-research-europe.ec.europa.eu/articles/4-233/v1;Version 1;2024-10-25;1;Approved with Reservations
Ten lessons for future MSCA/COFUND applicants;https://open-research-europe.ec.europa.eu/articles/4-233/v1;Version 1;2024-10-25;2;Not Approved
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Version 1;2024-10-25;1;Not Approved
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Version 1;2024-10-25;2;Approved with Reservations
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Version 1;2024-10-25;3;Not Approved
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Version 1;2024-10-25;4;Not Approved
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 2;2024-10-25;1;Approved
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 2;2024-10-25;2;
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 2;2024-10-25;3;Approved with Reservations
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 2;2024-10-25;4;Approved with Reservations
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 2;2024-10-25;5;Approved with Reservations
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 1;2023-11-07;1;Approved with Reservations
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 1;2023-11-07;2;Approved with Reservations
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 1;2023-11-07;3;
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 1;2023-11-07;4;
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;Version 1;2023-11-07;5;
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151/v1;Version 2;2024-10-25;1;Approved
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151/v1;Version 2;2024-10-25;2;Approved
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151/v1;Version 1;2024-07-18;1;Approved with Reservations
